folder,sample_id,genotype,batch,timepoint,condition
D0_1_2024_012_1_S4_seq2,D0_1,del,batch1,0,D0
D0_2_2024_012_1_S14_seq2,D0_2,del,batch1,0,D0
D0_3_2024_012_1_S15_seq2,D0_3,del,batch1,0,D0
D7_1_2024_012_1_S16_seq2,D7_1,del,batch1,7,D7
D7_2_2024_012_1_S17_seq2,D7_2,del,batch1,7,D7
D7_3_2024_012_1_S18_seq2,D7_3,del,batch1,7,D7
D14_1_2024_012_1_S19_seq2,D14_1,del,batch1,14,D14
D14_2_2024_012_1_S20_seq2,D14_2,del,batch1,14,D14
D14_3_2024_012_1_S21_seq2,D14_3,del,batch1,14,D14
D23_1_2024_012_1_S22_seq2,D23_1,del,batch1,23,D23
D23_2_2024_012_1_S23_seq2,D23_2,del,batch1,23,D23
D23_3_2024_012_1_S24_seq2,D23_3,del,batch1,23,D23
W0_1_2024_012_1_S3_seq2,W0_1,wt,batch1,0,W0
W0_2_2024_012_1_S2_seq2,W0_2,wt,batch1,0,W0
W0_3_2024_012_1_S2_seq2,W0_3,wt,batch1,0,W0
W7_1_2024_012_1_S4_seq2,W7_1,wt,batch1,7,W7
W7_2_2024_012_1_S5_seq2,W7_2,wt,batch1,7,W7
W7_3_2024_012_1_S6_seq2,W7_3,wt,batch1,7,W7
W14_1_2024_012_1_S7_seq2,W14_1,wt,batch1,14,W14
W14_2_2024_012_1_S8_seq2,W14_2,wt,batch1,14,W14
W14_3_2024_012_1_S1_seq2,W14_3,wt,batch1,14,W14
W23_1_2024_012_1_S10_seq2,W23_1,wt,batch1,23,W23
W23_2_2024_012_1_S11_seq2,W23_2,wt,batch1,23,W23
W23_3_2024_012_1_S12_seq2,W23_3,wt,batch1,23,W23
Del1,D0_orig1,del,batch2,0,D0
Del2,D0_orig2,del,batch2,0,D0
Del3,D0_orig3,del,batch2,0,D0
WT1,W0_orig1,wt,batch2,0,W0
WT2,W0_orig2,wt,batch2,0,W0
WT3,W0_orig3,wt,batch2,0,W0
